epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,2358.26,0.89557,0.55665,1.05797,0.8746,0.64048,0.64992,0.33057,1.34136,0.83474,1.35882,0.000396063,0.000396063,0.000396063
76,2389.47,0.89397,0.54891,1.05484,0.74445,0.66257,0.68293,0.34389,1.35514,0.88557,1.37468,0.000392969,0.000392969,0.000392969
77,2420.46,0.87523,0.55176,1.06114,0.92219,0.6397,0.70232,0.35551,1.28661,0.79754,1.32353,0.000389875,0.000389875,0.000389875
78,2451.42,0.86796,0.55323,1.06075,0.92408,0.63104,0.73676,0.39048,1.22814,0.76712,1.29807,0.000386781,0.000386781,0.000386781
79,2482.53,0.87995,0.55727,1.06349,0.90736,0.62434,0.706,0.33916,1.34621,0.87998,1.3485,0.000383688,0.000383688,0.000383688
80,2514.36,0.83595,0.52274,1.02319,0.9169,0.65833,0.68849,0.34579,1.35828,0.8312,1.35926,0.000380594,0.000380594,0.000380594
81,2545.98,0.8568,0.54006,1.04492,0.92133,0.65098,0.67078,0.36449,1.29625,0.77178,1.33922,0.0003775,0.0003775,0.0003775
82,2577.39,0.83152,0.51453,1.03836,0.92831,0.66001,0.71714,0.37409,1.35769,0.7858,1.38119,0.000374406,0.000374406,0.000374406
83,2608.9,0.84854,0.53374,1.0499,0.65104,0.67027,0.71258,0.37888,1.32032,0.77983,1.35557,0.000371313,0.000371313,0.000371313
84,2640.37,0.81981,0.53167,1.03102,0.65365,0.68267,0.71678,0.37286,1.37826,0.83048,1.38849,0.000368219,0.000368219,0.000368219
85,2671.71,0.84334,0.5319,1.0252,0.73796,0.65594,0.70907,0.34413,1.37438,0.79503,1.38317,0.000365125,0.000365125,0.000365125
86,2703.36,0.84421,0.53977,1.03962,0.77388,0.65201,0.71215,0.36838,1.36425,0.78153,1.35145,0.000362031,0.000362031,0.000362031
87,2735.06,0.84025,0.53866,1.02043,0.61917,0.779,0.69919,0.34526,1.37815,0.84642,1.41402,0.000358938,0.000358938,0.000358938
88,2766.28,0.87143,0.55311,1.05109,0.62748,0.77879,0.7298,0.38402,1.35675,0.8987,1.41249,0.000355844,0.000355844,0.000355844
89,2797.63,0.86056,0.55319,1.04571,0.59439,0.77038,0.73596,0.3649,1.42283,0.80668,1.45681,0.00035275,0.00035275,0.00035275
90,2828.84,0.84377,0.55326,1.0466,0.62536,0.66674,0.70943,0.35229,1.42746,0.911,1.43021,0.000349656,0.000349656,0.000349656
91,2859.92,0.82761,0.53127,1.03284,0.5632,0.66499,0.70144,0.34145,1.45688,0.97366,1.41361,0.000346563,0.000346563,0.000346563
92,2891.12,0.79903,0.5058,0.99659,0.5978,0.75383,0.7682,0.37114,1.38513,0.81947,1.41005,0.000343469,0.000343469,0.000343469
93,2922.15,0.81499,0.51598,1.01894,0.62566,0.73763,0.76742,0.40048,1.32767,0.7843,1.3768,0.000340375,0.000340375,0.000340375
94,2953.23,0.80213,0.5331,1.01038,0.59806,0.68854,0.76531,0.39621,1.33594,0.81743,1.40264,0.000337281,0.000337281,0.000337281
95,2984.34,0.77885,0.50149,0.99311,0.66479,0.81929,0.77828,0.39978,1.30713,0.78708,1.38559,0.000334188,0.000334188,0.000334188
96,3015.3,0.79451,0.50654,1.00361,0.66425,0.84781,0.84351,0.39663,1.33692,0.78083,1.38788,0.000331094,0.000331094,0.000331094
97,3046.35,0.77584,0.51009,1.01769,0.62904,0.80589,0.80913,0.43191,1.28618,0.76479,1.36083,0.000328,0.000328,0.000328
